Text,Label
"Ndi kumwe n'inshuti zanjye.",toi
"Wigeze gutembera muri Kigali?",toi
"Ndashaka kugura igitabo cyiza.",toi
"Ndagukunda cyane.",toi
"Amasomo yacu atangiye uyu munsi.",toi
"Ese uzi gucuranga gitari?",toi
"Abana barasoma mu ishuri.",toi
"Mɛni hewɔ ni oyaaa nitsumɔ ŋmɛnɛ lɛ?",gaa
"Mɛni shikponi kɛ nɔ lɛ?",gaa
"Nɔɔ ni yɛbɔ yɛn wɔ sɛi?",gaa
"Mɛlɛ tsɔɔ mli nɔɔ.",gaa
"Nɛɛ yɛ amɛɛ, mɛ kɛ mɔ.",gaa
"Nɔɔ ni mɛnii wɔɔ yɛn.",gaa
"Gbɛi nɔɔ ni nɔ ni oyaa.",gaa
"Eendombwedi daJehowa odi dili moilongo ihadi udifa ashike omifikamhango dopaenghedi ododili mOmbibeli ndele ohadi kala yo metwokumwe nado.",kua
"Omawalo gomeho oshikuyu kehe okukwata?",kua
"Eenda shaShikuyu kuunona omufima.",kua
"Ombwedi ooveli, oshili omatutura.",kua
"Omundu omahwa otji muula.",kua
"Omalunda osho tuhafa kuuli.",kua
"Oshivambo owa twafike okudhi.",kua
"Jul li k'aplé réèlman Julien Mari a roun rapè fransè fèt janvye koté Marsè.",gcr
"Li gen yon bèl kay nan vil la.",gcr
"Mwen bezwen ale nan magazen an.",gcr
"Yo ap prepare yon gwo fèt nan vil la.",gcr
"Mwen te wè li yè swa nan yon restoran.",gcr
"Nou pral ale nan plaj la demen.",gcr
"Li renmen chante anpil.",gcr
"E na raira n te mauri!",gil
"Te taetae n Karikirake aei?",gil
"Ao, e aei n te kabongakoma.",gil
"Iri ao ia, ko motton ana iota.",gil
"E kanana n raoiroi ia te raoi!",gil
"Noo te raoi n karera ake!",gil
"Nou tou nou anvi viv anzan.",crs
"Li pe al dan lakaz so bann kamarad.",crs
"Sakenn bizin fer so part pou amenn enn lapot.",crs
"Ki ou pansé lor sa lartik-la?",crs
"Nou pa pou kit lezot dan difikilte.",crs
"La vi dan nou pei i ansekir.",crs
"Awa mbi ko fiunga.",pau
"Ebe tela mbote.",pau
"Kiese nkiwa yo mwa.",pau
"Nduka kuene mbi.",pau
"Eba ki mona?",pau
"Teza za nzo.",pau
"O le a le taeao i le aso?",tvl
"E lelei le aso ma le sami.",tvl
"E mafai ona e fesoasoani mai?",tvl
"O le tamaitiiti o lo'o ta'a'ina i luga o le laupapa.",tvl
"O lo'o nonofo i le 'aiga.",tvl
"E i ai le fua o le taumafa i le fiafia.",tvl